date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:00:44	37856/37856	---MCZ	200	added ('OK')	text/html	date:Sun,%2001%20Jul%202018%2008:59:39%20GMT	https://breezometer.com/use-cases/air-quality-pilot-paris/	breezometer.com/use-cases/air-quality-pilot-paris/index.html	(from https://breezometer.com/air-quality-pilot-paris/)
12:00:44	37092/37092	---MCZ	200	added ('OK')	text/html	date:Sun,%2001%20Jul%202018%2008:59:40%20GMT	https://breezometer.com/use-cases/veolia-client/	breezometer.com/use-cases/veolia-client/index.html	(from https://breezometer.com/clients/veolia-client/)
12:00:45	35713/35713	---MCZ	200	added ('OK')	text/html	date:Sun,%2001%20Jul%202018%2008:59:48%20GMT	https://breezometer.com/use-cases/foobot-case-study/	breezometer.com/use-cases/foobot-case-study/index.html	(from https://breezometer.com/clients/foobot-case-study/)
12:00:45	28541/28541	---MCZ	200	added ('OK')	text/html	date:Sun,%2001%20Jul%202018%2009:00:29%20GMT	https://breezometer.com/use-cases/client-air-quality-cities-current-by-ge/	breezometer.com/use-cases/client-air-quality-cities-current-by-ge/index.html	(from https://breezometer.com/clients/client-air-quality-cities-current-by-ge/)
12:00:45	32069/32069	---MCZ	200	added ('OK')	text/html	date:Sun,%2001%20Jul%202018%2009:00:45%20GMT	https://breezometer.com/use-cases/client-rzmask/	breezometer.com/use-cases/client-rzmask/index.html	(from https://breezometer.com/clients/client-rzmask/)
12:00:46	2257/2257	---MCZ	200	added ('OK')	application/json	date:Sun,%2001%20Jul%202018%2009:00:45%20GMT	https://breezometer.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fbreezometer.com%2Fair-quality-api%2Fhistory-api%2F	breezometer.com/wp-json/oembed/1.0/embed5a52.json	(from https://breezometer.com/air-quality-api/history-api/)
12:00:46	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2001%20Jul%202018%2009:00:46%20GMT	https://breezometer.com/?p=1751	breezometer.com/indexf549.html	(from https://breezometer.com/air-quality-api/history-api/)
12:00:46	771/771	---MC-	200	added ('OK')	application/rss+xml	date:Mon,%2009%20Jan%202017%2017:48:00%20GMT	https://breezometer.com/air-quality-api/history-api/feed/	breezometer.com/air-quality-api/history-api/feed/index.html	(from https://breezometer.com/air-quality-api/history-api/)
12:00:47	2352/2352	---MCZ	200	added ('OK')	text/xml	date:Sun,%2001%20Jul%202018%2009:00:47%20GMT	https://breezometer.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fbreezometer.com%2Fair-quality-api%2Fhistory-api%2F&format=xml	breezometer.com/wp-json/oembed/1.0/embedcca6	(from https://breezometer.com/air-quality-api/history-api/)
12:00:48	2398/2398	---MCZ	200	added ('OK')	application/json	date:Sun,%2001%20Jul%202018%2009:00:47%20GMT	https://breezometer.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fbreezometer.com%2Fair-quality-api%2Fheatmap-tile-overlay%2F	breezometer.com/wp-json/oembed/1.0/embed1f05.json	(from https://breezometer.com/air-quality-api/heatmap-tile-overlay/)
